timestamp,agent,model,input_tokens,output_tokens,cost_usd
2026-01-10T10:03:59.171854,test_agent,anthropic/claude-3-5-sonnet,1000000,0,3.000000
2026-01-10T10:03:59.171854,test_agent,anthropic/claude-3-5-sonnet,0,1000000,15.000000
2026-01-10T10:03:59.172855,test_agent,anthropic/claude-3-opus,1000,0,0.015000
2026-01-10T10:03:59.172855,test_agent,anthropic/claude-4-5-sonnet,1000000,0,3.000000
2026-01-10T10:03:59.172855,test_agent,ollama/qwen2.5:14b,5000,2000,0.000000
2026-01-10T10:03:59.172855,test_agent,unknown/model,100,100,0.000000
2026-01-10T18:18:33.234975,book_processor,ollama/qwen2.5:14b,4096,643,0.000000
2026-01-10T18:21:13.025789,book_processor,ollama/qwen2.5:14b,4096,641,0.000000
2026-01-10T18:24:02.934839,book_processor,ollama/qwen2.5:14b,4096,682,0.000000
2026-01-10T18:27:44.325778,book_processor,ollama/qwen2.5:14b,4096,895,0.000000
2026-01-10T18:30:58.472760,book_processor,ollama/qwen2.5:14b,4096,783,0.000000
2026-01-10T18:34:27.529755,book_processor,ollama/qwen2.5:14b,4096,826,0.000000
2026-01-10T18:38:04.552221,book_processor,ollama/qwen2.5:14b,4096,858,0.000000
2026-01-10T18:42:06.921200,book_processor,ollama/qwen2.5:14b,4096,964,0.000000
2026-01-11T12:54:44.492057,the_maestro,ollama/qwen2.5:14b,4096,813,0.000000
2026-01-11T13:04:37.639738,z1_architect,openai/gpt-4o,5583,1336,0.027318
2026-01-11T13:05:43.878876,z2_profiler,openai/gpt-4o,5878,556,0.020255
2026-01-11T13:07:08.118603,z3_engineer,openai/gpt-4o,6931,579,0.023117
2026-01-11T13:21:10.183105,z3_engineer,openai/gpt-4o,6865,887,0.026032
2026-01-11T16:59:10.723937,stratos,openai/gpt-4o-mini,5144,65,0.000811
2026-01-11T17:41:09.842978,stratos,openai/gpt-4o-mini,5143,393,0.001007
2026-01-11T17:45:58.318548,stratos,openai/gpt-4o-mini,5145,723,0.001206
2026-01-11T18:08:18.473767,stratos,openai/gpt-4o-mini,5770,744,0.001312
2026-01-11T18:32:23.750306,z1_architect,openai/gpt-4o-mini,5583,175,0.000942
2026-01-11T19:04:36.560531,stratos,openai/gpt-4o-mini,1880,59,0.000317
2026-01-11T19:06:59.329237,stratos,openai/gpt-4o-mini,1931,140,0.000374
2026-01-11T19:08:29.536949,stratos,openai/gpt-4o-mini,1942,178,0.000398
2026-01-11T19:12:32.563133,stratos,openai/gpt-4o-mini,1934,350,0.000500
2026-01-11T19:17:26.404875,stratos,openai/gpt-4o-mini,2043,580,0.000654
2026-01-11T19:20:50.013930,stratos,openai/gpt-4o-mini,2066,621,0.000682
2026-01-11T19:23:39.869873,stratos,openai/gpt-4o-mini,1953,373,0.000517
2026-01-11T19:26:41.727887,stratos,openai/gpt-4o-mini,1980,1044,0.000923
2026-01-11T20:15:48.084540,stratos,openai/gpt-4o-mini,2317,82,0.000397
2026-01-11T20:21:05.997107,stratos,openai/gpt-4o-mini,2388,223,0.000492
2026-01-11T20:28:08.662914,stratos,openai/gpt-4o-mini,2841,383,0.000656
2026-01-11T20:29:48.972745,stratos,openai/gpt-4o-mini,2370,106,0.000419
2026-01-11T20:30:49.634473,stratos,openai/gpt-4o-mini,2352,93,0.000409
2026-01-11T20:31:44.291783,stratos,openai/gpt-4o-mini,2389,277,0.000525
2026-01-11T20:33:25.660859,stratos,openai/gpt-4o-mini,2383,602,0.000719
2026-01-11T20:35:28.726278,stratos,openai/gpt-4o-mini,2435,211,0.000492
2026-01-11T20:38:18.114778,stratos,openai/gpt-4o-mini,2449,167,0.000468
2026-01-11T20:41:36.915639,stratos,openai/gpt-4o-mini,2613,475,0.000677
2026-01-11T20:42:59.093947,stratos,openai/gpt-4o-mini,2450,343,0.000573
2026-01-11T20:44:24.948610,stratos,openai/gpt-4o-mini,2432,855,0.000878
2026-01-11T22:00:07.339729,the_prototyper,openai/gpt-4o-mini,8943,26,0.001357
2026-01-11T22:48:46.839650,the_prototyper,openai/gpt-4o-mini,23359,1294,0.004280
2026-01-11T22:56:09.218160,the_prototyper,openai/gpt-4o-mini,24302,1704,0.004668
2026-01-12T12:19:00.154541,the_prototyper,openai/gpt-4o-mini,23325,355,0.003712
2026-01-12T12:22:54.438477,the_prototyper,openai/gpt-4o-mini,23325,372,0.003722
2026-01-12T13:32:52.984131,stratos,openai/gpt-4o-mini,2205,182,0.000440
2026-01-12T14:26:26.299422,stratos,openai/gpt-4o-mini,2767,412,0.000662
2026-01-12T14:29:11.238375,stratos,openai/gpt-4o-mini,2382,275,0.000522
2026-01-12T14:32:29.438314,stratos,openai/gpt-4o-mini,2494,486,0.000666
2026-01-12T14:35:29.568456,stratos,openai/gpt-4o-mini,2389,543,0.000684
2026-01-12T14:40:18.402809,stratos,openai/gpt-4o-mini,2611,503,0.000693
2026-01-12T15:07:36.039153,stratos,openai/gpt-4o-mini,2321,97,0.000406
2026-01-12T15:13:03.564754,stratos,openai/gpt-4o-mini,2411,834,0.000862
2026-01-12T15:23:12.588876,stratos,openai/gpt-4o-mini,2444,795,0.000844
2026-01-12T17:29:37.499986,Harven_Creator,openai/gpt-4o-mini,12794,881,0.002448
2026-01-12T18:05:43.592925,the_prototyper,openai/gpt-4o-mini,23342,693,0.003917
